,County,State,2020 Base Population,2020 Pop Estimate,2021 Pop Estimate,2022 Pop Estimate,2023 Pop Estimate,State Code,County Code
0,United States,,"331,464,948","331,526,933","332,048,977","333,271,411","334,914,895",,
1,Autauga County,Alabama,"58,809","58,915","59,203","59,726","60,342",1,1
2,Baldwin County,Alabama,"231,768","233,227","239,439","246,531","253,507",1,3
3,Barbour County,Alabama,"25,229","24,969","24,533","24,700","24,585",1,5
4,Bibb County,Alabama,"22,301","22,188","22,359","21,986","21,868",1,7
5,Blount County,Alabama,"59,130","59,107","59,079","59,516","59,816",1,9
6,Bullock County,Alabama,"10,360","10,229","10,143","10,143","9,897",1,11
7,Butler County,Alabama,"19,046","19,025","18,890","18,668","18,382",1,13
8,Calhoun County,Alabama,"116,441","116,243","115,678","115,780","116,429",1,15
9,Chambers County,Alabama,"34,772","34,651","34,488","34,164","34,079",1,17
10,Cherokee County,Alabama,"24,973","24,969","25,074","25,353","25,666",1,19
11,Chilton County,Alabama,"45,011","45,057","45,259","45,848","46,431",1,21
12,Choctaw County,Alabama,"12,669","12,626","12,548","12,431","12,252",1,23
13,Clarke County,Alabama,"23,091","22,987","22,740","22,574","22,337",1,25
14,Clay County,Alabama,"14,237","14,212","14,170","14,183","14,111",1,27
15,Cleburne County,Alabama,"15,057","15,064","15,156","15,372","15,639",1,29
16,Coffee County,Alabama,"53,459","53,549","54,199","54,840","55,643",1,31
17,Colbert County,Alabama,"57,232","57,304","57,644","57,993","58,361",1,33
18,Conecuh County,Alabama,"11,597","11,554","11,320","11,224","11,174",1,35
19,Coosa County,Alabama,"10,378","10,335","10,314","10,307","10,268",1,37
20,Covington County,Alabama,"37,563","37,506","37,570","37,603","37,952",1,39
21,Crenshaw County,Alabama,"13,193","13,163","13,069","13,048","13,101",1,41
22,Cullman County,Alabama,"87,857","88,136","89,639","90,663","92,016",1,43
23,Dale County,Alabama,"49,322","49,257","49,395","49,495","49,871",1,45
24,Dallas County,Alabama,"38,458","38,171","37,515","36,729","36,165",1,47
25,DeKalb County,Alabama,"71,617","71,659","71,912","72,082","72,569",1,49
26,Elmore County,Alabama,"87,980","87,861","88,789","89,600","90,441",1,51
27,Escambia County,Alabama,"36,768","36,685","36,660","36,636","36,558",1,53
28,Etowah County,Alabama,"103,434","103,453","103,010","102,903","103,241",1,55
29,Fayette County,Alabama,"16,326","16,331","16,127","16,082","15,967",1,57
30,Franklin County,Alabama,"32,112","32,078","31,998","31,910","31,802",1,59
31,Geneva County,Alabama,"26,658","26,698","26,620","26,760","26,988",1,61
32,Greene County,Alabama,"7,731","7,700","7,614","7,452","7,341",1,63
33,Hale County,Alabama,"14,788","14,772","14,726","14,599","14,888",1,65
34,Henry County,Alabama,"17,141","17,169","17,433","17,670","17,899",1,67
35,Houston County,Alabama,"107,202","107,284","107,470","108,047","108,462",1,69
36,Jackson County,Alabama,"52,579","52,545","52,719","52,923","53,467",1,71
37,Jefferson County,Alabama,"674,340","674,717","669,990","665,084","662,895",1,73
38,Lamar County,Alabama,"13,972","13,953","13,736","13,706","13,661",1,75
39,Lauderdale County,Alabama,"93,562","94,025","94,853","95,875","96,814",1,77
40,Lawrence County,Alabama,"33,074","33,089","33,073","33,187","33,502",1,79
41,Lee County,Alabama,"174,247","174,754","177,596","180,698","183,215",1,81
42,Limestone County,Alabama,"103,565","104,203","107,303","110,868","114,654",1,83
43,Lowndes County,Alabama,"10,321","10,285","9,945","9,783","9,717",1,85
44,Macon County,Alabama,"19,527","19,464","18,905","18,532","18,370",1,87
45,Madison County,Alabama,"388,154","390,503","396,671","403,605","412,600",1,89
46,Marengo County,Alabama,"19,325","19,270","18,985","18,791","18,684",1,91
47,Marion County,Alabama,"29,340","29,176","29,001","29,182","29,244",1,93
48,Marshall County,Alabama,"97,611","97,702","98,286","99,428","100,756",1,95
49,Mobile County,Alabama,"414,809","414,377","413,383","411,398","411,640",1,97
50,Monroe County,Alabama,"19,771","19,706","19,550","19,412","19,229",1,99
51,Montgomery County,Alabama,"228,952","228,342","226,935","226,301","224,980",1,101
52,Morgan County,Alabama,"123,424","123,288","123,375","124,231","125,133",1,103
53,Perry County,Alabama,"8,513","8,458","8,328","7,904","7,738",1,105
54,Pickens County,Alabama,"19,130","18,969","18,618","18,749","18,688",1,107
55,Pike County,Alabama,"33,002","32,900","32,746","33,008","33,137",1,109
56,Randolph County,Alabama,"21,961","22,086","22,184","22,460","22,786",1,111
57,Russell County,Alabama,"59,182","59,258","58,681","58,594","58,744",1,113
58,St. Clair County,Alabama,"91,468","91,657","92,874","93,881","95,552",1,115
59,Shelby County,Alabama,"223,038","223,912","227,453","230,033","233,000",1,117
60,Sumter County,Alabama,"12,344","12,191","11,967","11,889","11,727",1,119
61,Talladega County,Alabama,"82,149","81,575","80,734","80,748","81,132",1,121
62,Tallapoosa County,Alabama,"41,309","41,284","41,099","40,913","40,677",1,123
63,Tuscaloosa County,Alabama,"227,037","231,547","235,670","236,690","237,373",1,125
64,Walker County,Alabama,"65,344","65,138","64,636","64,438","64,728",1,127
65,Washington County,Alabama,"15,389","15,329","15,223","15,094","15,022",1,129
66,Wilcox County,Alabama,"10,598","10,534","10,423","10,139","9,944",1,131
67,Winston County,Alabama,"23,547","23,493","23,655","23,741","23,611",1,133
68,Aleutians East Borough,Alaska,"3,421","3,427","3,417","3,430","3,461",2,13
69,Aleutians West Census Area,Alaska,"5,225","5,214","5,147","5,090","5,160",2,16
70,Anchorage Municipality,Alaska,"291,244","290,893","289,169","286,983","286,075",2,20
71,Bethel Census Area,Alaska,"18,657","18,661","18,594","18,259","18,224",2,50
72,Bristol Bay Borough,Alaska,843,830,842,870,844,2,60
73,Chugach Census Area,Alaska,"7,103","7,080","6,971","6,899","6,769",2,63
74,Copper River Census Area,Alaska,"2,616","2,614","2,621","2,609","2,674",2,66
75,Denali Borough,Alaska,"1,624","1,614","1,595","1,575","1,584",2,68
76,Dillingham Census Area,Alaska,"4,856","4,838","4,796","4,724","4,607",2,70
77,Fairbanks North Star Borough,Alaska,"95,660","95,337","95,593","95,202","94,840",2,90
78,Haines Borough,Alaska,"2,078","2,084","2,074","2,070","2,070",2,100
79,Hoonah-Angoon Census Area,Alaska,"2,360","2,358","2,330","2,279","2,262",2,105
80,Juneau City and Borough,Alaska,"32,256","32,209","31,979","31,740","31,555",2,110
81,Kenai Peninsula Borough,Alaska,"58,801","58,942","59,946","60,611","61,223",2,122
82,Ketchikan Gateway Borough,Alaska,"13,953","13,915","13,866","13,772","13,738",2,130
83,Kodiak Island Borough,Alaska,"13,100","13,047","12,878","12,639","12,565",2,150
84,Kusilvak Census Area,Alaska,"8,370","8,371","8,377","8,214","8,001",2,158
85,Lake and Peninsula Borough,Alaska,"1,474","1,450","1,419","1,377","1,331",2,164
86,Matanuska-Susitna Borough,Alaska,"107,068","107,504","110,998","113,472","115,239",2,170
87,Nome Census Area,Alaska,"10,050","10,029","9,894","9,791","9,763",2,180
88,North Slope Borough,Alaska,"11,032","11,004","11,054","10,811","10,603",2,185
89,Northwest Arctic Borough,Alaska,"7,796","7,797","7,635","7,453","7,361",2,188
90,Petersburg Borough,Alaska,"3,397","3,403","3,381","3,370","3,427",2,195
91,Prince of Wales-Hyder Census Area,Alaska,"5,755","5,741","5,720","5,650","5,696",2,198
92,Sitka City and Borough,Alaska,"8,449","8,426","8,383","8,353","8,282",2,220
93,Skagway Municipality,Alaska,"1,240","1,238","1,147","1,092","1,095",2,230
94,Southeast Fairbanks Census Area,Alaska,"6,807","6,821","7,007","7,016","7,077",2,240
95,Wrangell City and Borough,Alaska,"2,125","2,126","2,102","2,071","2,064",2,275
96,Yakutat City and Borough,Alaska,663,682,710,685,687,2,282
97,Yukon-Koyukuk Census Area,Alaska,"5,351","5,309","5,278","5,169","5,129",2,290
98,Apache County,Arizona,"66,026","65,913","65,389","65,533","65,036",4,1
99,Cochise County,Arizona,"125,445","125,527","126,119","125,487","124,640",4,3
100,Coconino County,Arizona,"145,104","145,192","142,897","144,223","144,472",4,5
101,Gila County,Arizona,"53,271","53,351","53,549","53,922","54,003",4,7
102,Graham County,Arizona,"38,541","38,646","38,921","38,822","39,525",4,9
103,Greenlee County,Arizona,"9,562","9,528","9,400","9,327","9,369",4,11
104,La Paz County,Arizona,"16,546","16,569","16,385","16,535","16,710",4,12
105,Maricopa County,Arizona,"4,425,102","4,445,059","4,499,438","4,555,833","4,585,871",4,13
106,Mohave County,Arizona,"213,276","214,185","217,164","220,905","223,682",4,15
107,Navajo County,Arizona,"106,714","106,763","107,726","108,800","109,175",4,17
108,Pima County,Arizona,"1,043,435","1,045,175","1,048,914","1,057,476","1,063,162",4,19
109,Pinal County,Arizona,"426,000","430,187","448,993","465,037","484,239",4,21
110,Santa Cruz County,Arizona,"47,668","47,712","47,956","48,680","49,158",4,23
111,Yavapai County,Arizona,"236,210","237,217","242,352","246,230","249,081",4,25
112,Yuma County,Arizona,"205,002","205,659","207,284","208,874","213,221",4,27
113,Arkansas County,Arkansas,"17,148","17,107","16,687","16,498","16,307",5,1
114,Ashley County,Arkansas,"19,058","18,957","18,654","18,348","18,262",5,3
115,Baxter County,Arkansas,"41,628","41,686","42,224","42,485","42,875",5,5
116,Benton County,Arkansas,"284,340","286,618","294,297","302,822","311,013",5,7
117,Boone County,Arkansas,"37,367","37,381","37,894","38,280","38,530",5,9
118,Bradley County,Arkansas,"10,545","10,495","10,343","10,168","10,104",5,11
119,Calhoun County,Arkansas,"4,740","4,736","4,728","4,687","4,641",5,13
120,Carroll County,Arkansas,"28,257","28,240","28,539","28,717","28,814",5,15
121,Chicot County,Arkansas,"10,211","10,156","10,052","9,834","9,538",5,17
122,Clark County,Arkansas,"21,445","21,385","21,244","21,276","21,274",5,19
123,Clay County,Arkansas,"14,548","14,529","14,362","14,271","14,201",5,21
124,Cleburne County,Arkansas,"24,710","24,704","25,028","25,253","25,445",5,23
125,Cleveland County,Arkansas,"7,550","7,552","7,486","7,467","7,378",5,25
126,Columbia County,Arkansas,"22,800","22,744","22,490","22,286","22,150",5,27
127,Conway County,Arkansas,"20,710","20,730","20,902","21,021","21,077",5,29
128,Craighead County,Arkansas,"111,242","111,619","111,794","112,863","113,993",5,31
129,Crawford County,Arkansas,"60,119","60,142","60,430","61,041","61,891",5,33
130,Crittenden County,Arkansas,"48,156","48,076","47,438","47,051","47,139",5,35
131,Cross County,Arkansas,"16,828","16,795","16,672","16,590","16,420",5,37
132,Dallas County,Arkansas,"6,481","6,444","6,309","6,196","6,185",5,39
133,Desha County,Arkansas,"11,398","11,324","11,048","10,758","10,479",5,41
134,Drew County,Arkansas,"17,345","17,313","17,057","16,912","16,945",5,43
135,Faulkner County,Arkansas,"123,493","123,820","125,608","127,565","129,951",5,45
136,Franklin County,Arkansas,"17,103","17,139","17,166","17,270","17,468",5,47
137,Fulton County,Arkansas,"12,074","12,054","12,147","12,355","12,421",5,49
138,Garland County,Arkansas,"100,173","100,258","100,393","99,982","99,784",5,51
139,Grant County,Arkansas,"17,960","18,018","18,123","18,129","18,383",5,53
140,Greene County,Arkansas,"45,738","45,864","46,341","46,408","46,743",5,55
141,Hempstead County,Arkansas,"20,069","19,989","19,667","19,481","19,343",5,57
142,Hot Spring County,Arkansas,"33,044","33,075","33,079","33,149","33,258",5,59
143,Howard County,Arkansas,"12,786","12,757","12,695","12,622","12,533",5,61
144,Independence County,Arkansas,"37,931","37,940","38,100","38,254","38,320",5,63
145,Izard County,Arkansas,"13,578","13,602","13,921","14,029","14,169",5,65
146,Jackson County,Arkansas,"16,765","16,761","16,781","16,654","16,784",5,67
147,Jefferson County,Arkansas,"67,258","66,830","65,637","64,295","63,661",5,69
148,Johnson County,Arkansas,"25,749","25,724","25,957","25,970","26,129",5,71
149,Lafayette County,Arkansas,"6,305","6,293","6,159","6,129","6,095",5,73
150,Lawrence County,Arkansas,"16,221","16,218","16,329","16,194","16,318",5,75
151,Lee County,Arkansas,"8,593","8,526","8,560","8,367","8,201",5,77
152,Lincoln County,Arkansas,"12,936","12,890","13,168","12,910","12,898",5,79
153,Little River County,Arkansas,"12,026","11,974","11,973","11,865","11,805",5,81
154,Logan County,Arkansas,"21,128","21,100","21,229","21,258","21,400",5,83
155,Lonoke County,Arkansas,"74,012","74,055","74,770","75,199","75,944",5,85
156,Madison County,Arkansas,"16,519","16,545","16,944","17,463","17,775",5,87
157,Marion County,Arkansas,"16,828","16,873","16,984","17,289","17,514",5,89
158,Miller County,Arkansas,"42,599","42,588","42,494","42,608","42,415",5,91
159,Mississippi County,Arkansas,"40,682","40,538","39,534","38,863","38,663",5,93
160,Monroe County,Arkansas,"6,802","6,776","6,648","6,568","6,512",5,95
161,Montgomery County,Arkansas,"8,482","8,485","8,635","8,543","8,620",5,97
162,Nevada County,Arkansas,"8,312","8,284","8,184","8,179","8,120",5,99
163,Newton County,Arkansas,"7,228","7,196","7,167","7,101","7,071",5,101
164,Ouachita County,Arkansas,"22,647","22,615","22,312","21,994","21,793",5,103
165,Perry County,Arkansas,"10,018","9,997","9,995","10,073","10,184",5,105
166,Phillips County,Arkansas,"16,571","16,440","15,825","15,350","14,961",5,107
167,Pike County,Arkansas,"10,169","10,162","10,114","10,159","10,208",5,109
168,Poinsett County,Arkansas,"22,965","22,954","22,691","22,453","22,397",5,111
169,Polk County,Arkansas,"19,213","19,177","19,333","19,334","19,436",5,113
170,Pope County,Arkansas,"63,384","63,410","63,778","64,053","64,593",5,115
171,Prairie County,Arkansas,"8,287","8,249","8,095","8,077","8,036",5,117
172,Pulaski County,Arkansas,"399,125","399,274","398,108","399,387","400,009",5,119
173,Randolph County,Arkansas,"18,574","18,595","18,839","18,852","18,907",5,121
174,St. Francis County,Arkansas,"23,094","23,021","22,715","22,402","22,101",5,123
175,Saline County,Arkansas,"123,430","123,826","125,382","127,415","129,574",5,125
176,Scott County,Arkansas,"9,838","9,834","9,795","9,796","9,851",5,127
177,Searcy County,Arkansas,"7,828","7,840","7,893","7,906","7,806",5,129
178,Sebastian County,Arkansas,"127,797","127,808","128,342","129,109","129,098",5,131
179,Sevier County,Arkansas,"15,839","15,778","15,714","15,738","15,632",5,133
180,Sharp County,Arkansas,"17,274","17,314","17,691","17,836","17,968",5,135
181,Stone County,Arkansas,"12,354","12,349","12,441","12,585","12,671",5,137
182,Union County,Arkansas,"39,050","38,931","38,375","37,813","37,397",5,139
183,Van Buren County,Arkansas,"15,795","15,799","15,777","16,103","16,142",5,141
